method,seed,event,onset,detect,latency,fell,V,tilt_rms,dist,false_alarm,request_t,compute_latency,trial_dist,coupling,w_swing,b
oracle,2,1,4.49,5.54,1.0499999999999998,1,-2.0,nan,0.733029442962418,0,5.53,0.009999999999999787,6.42152829529911,12.0,25.0,10.0
oracle,2,2,10.27,13.290000000000001,3.0200000000000014,0,-0.04302887431835021,0.30538165840217985,1.5672487226006577,0,13.280000000000001,0.009999999999999787,6.42152829529911,12.0,25.0,10.0
oracle,3,1,4.49,5.54,1.0499999999999998,1,-2.0,32.233883024213,0.6879343587814861,0,5.53,0.009999999999999787,8.68462369644969,12.0,25.0,10.0
oracle,3,2,11.6,12.700000000000001,1.1000000000000014,1,-2.0,37.351063707368574,0.6608179732298485,0,12.69,0.010000000000001563,8.68462369644969,12.0,25.0,10.0
oracle,3,3,19.26,20.34,1.0799999999999983,0,-0.10345591124935206,0.7670783037572696,0.6754982789012232,0,20.330000000000002,0.00999999999999801,8.68462369644969,12.0,25.0,10.0
oracle,4,1,4.49,5.55,1.0599999999999996,1,-2.0,36.08051705418229,0.6880790783379056,0,5.54,0.009999999999999787,5.584357189346238,12.0,25.0,10.0
oracle,4,2,11.44,12.450000000000001,1.0100000000000016,0,-0.042449647036702405,0.30027560259538233,0.6294315427726156,0,12.44,0.010000000000001563,5.584357189346238,12.0,25.0,10.0
aif,0,1,4.0,4.98,0.9800000000000004,1,-2.0,64.25894427425902,0.6855406776589383,0,4.97,0.010000000000000675,64.00052741815438,9.095693498571634,14.046800706458054,0.5056378869683275
aif,0,2,11.26,14.280000000000001,3.0200000000000014,1,-2.0,10.281930731340845,-3.180235569541547,0,14.27,0.010000000000001563,64.00052741815438,4.132221084228233,22.199053588004084,9.136280215049444
aif,0,3,65.1,68.12,3.0200000000000102,1,-2.0,11.31969568556783,-3.277145828532195,0,68.11,0.010000000000005116,64.00052741815438,8.853086206137439,20.942448414759976,5.481887415507686
aif,0,4,105.18,106.04,0.8599999999999994,1,-2.0,78.25938962840934,0.7247531875869382,0,106.03,0.010000000000005116,64.00052741815438,11.480579390302147,22.237803311822983,0.12711115168446616
aif,0,5,114.34,117.4,3.0600000000000023,1,-2.0,nan,1.3469342264228814,0,116.74000000000001,0.6599999999999966,64.00052741815438,4.348485842347145,16.718755019828677,9.540002288855613
aif,0,6,121.36,124.22,2.8599999999999994,1,-2.0,55.29488065951085,1.4346944261252172,0,124.0,0.21999999999999886,64.00052741815438,4.83588058501482,23.239267650060356,8.67044434612617
aif,0,7,128.98,130.07,1.0900000000000034,1,-2.0,nan,0.6609859621670857,0,129.87,0.19999999999998863,64.00052741815438,4.427905730903149,22.521531428210437,7.525258134957403
aif,0,8,135.87,139.24,3.3700000000000045,1,-2.0,45.016267481425466,1.6584524337005284,0,138.88,0.36000000000001364,64.00052741815438,4.572506234049797,21.909408778883517,8.7847760040313
aif,0,9,145.41,146.91,1.5,1,-2.0,nan,0.6758636970908931,0,146.34,0.5699999999999932,64.00052741815438,4.085068620741367,22.4324545962736,9.996524873003363
aif,0,10,153.48,154.55,1.0700000000000216,1,-2.0,nan,0.6160341998668208,0,154.31,0.2400000000000091,64.00052741815438,7.838505394756794,22.27524167858064,5.337023787666112
aif,0,11,159.44,160.25,0.8100000000000023,1,-2.0,52.003139053279256,0.4972262455958507,0,160.0,0.25,64.00052741815438,4.371032267808914,24.371242877095938,9.423738246876747
aif,0,12,163.59,165.14000000000001,1.5500000000000114,1,-2.0,nan,0.869605536195273,0,164.9,0.2400000000000091,64.00052741815438,8.975913435220718,17.521078432910144,5.339841356035322
aif,0,13,168.55,168.83,0.28000000000000114,1,-2.0,36.28136285118205,0.7597064648893443,0,168.55,0.28000000000000114,64.00052741815438,4.060790218412876,20.435239197686315,9.157934485934675
aif,0,14,176.58,178.17000000000002,1.5900000000000034,1,-2.0,61.17055683278576,0.8293566741993175,0,177.94,0.2300000000000182,64.00052741815438,9.45690070092678,21.44686904270202,5.132698623556643
aif,0,15,184.9,188.18,3.280000000000001,1,-2.0,12.803748480800344,4.025512304923211,0,187.91,0.27000000000001023,64.00052741815438,4.652294792234898,21.894334079697728,9.59802991533652
aif,0,16,203.20000000000002,206.41,3.2099999999999795,1,-2.0,11.248464485962419,5.3577627249752595,0,206.21,0.19999999999998863,64.00052741815438,4.131047770380974,20.791847533546388,9.899022015556692
aif,0,17,266.34000000000003,269.53000000000003,3.1899999999999977,1,-2.0,11.736896195467168,5.315598677111616,0,269.35,0.18000000000000682,64.00052741815438,5.550896875560284,20.630769580602646,9.740550229605287
aif,0,18,287.12,287.34000000000003,0.22000000000002728,1,-2.0,38.56518709129048,0.7717775783255334,0,287.12,0.22000000000002728,64.00052741815438,7.330405279994011,20.729537303559482,8.843435511179269
aif,0,19,296.17,297.8,1.6299999999999955,1,-2.0,38.866199921737454,1.1096931114317599,0,297.62,0.18000000000000682,64.00052741815438,4.373198315501213,20.972805628553033,7.755476244352758
aif,1,1,4.0,5.5,1.5,1,-2.0,51.136039697498575,0.9252194697827627,0,5.49,0.009999999999999787,103.70810141501035,8.094572997602054,24.25695544488903,1.527180165924374
aif,1,2,9.93,10.8,0.870000000000001,1,-2.0,55.04649126273365,0.7190850340273478,0,10.790000000000001,0.009999999999999787,103.70810141501035,11.58919557709795,14.677471780157282,4.290931844828498
aif,1,3,14.0,15.58,1.58,1,-2.0,51.120311782812536,0.9638960820153555,0,15.57,0.009999999999999787,103.70810141501035,10.621620750563533,16.137987045537418,5.540977507963289
aif,1,4,19.84,19.85,0.010000000000001563,1,-2.0,36.130441851828785,0.6788406776017677,0,19.84,0.010000000000001563,103.70810141501035,4.220472905944547,21.3026966301221,5.427618800870854
