method,seed,event,fell,n_win,dur,J,J_vx,J_pitch,J_roll,J_vy,mean_vx,const,V_old
noadapt,18,4,1,1000,10.0,0.014950237028368063,1.4268597908635383,0.0027734596671328076,0.3414363785091892,,0.1993850121549236,-1.7561193920114921,-2.0
noadapt,18,5,1,1000,10.0,0.022474156595823525,1.4335843525095138,0.003280166236035787,0.3417290298617661,,0.13852871496503166,-1.7561193920114921,-2.0
noadapt,18,6,1,1000,10.0,2.61406499544839,3.991271710473883,0.022109475424033857,0.356803201561965,,-0.17573351425160874,-1.7561193920114921,-2.0
noadapt,18,7,0,1000,10.0,5.456597875280124,7.161466544815157,0.0012450989876186661,0.05000562348883954,,-0.42073785236945266,-1.7561193920114921,-0.5616342704394446
noadapt,19,1,1,1000,10.0,0.08117282167841289,1.4995725062057434,0.00958772708975219,0.32813198039440944,,0.13170253322044137,-1.7561193920114921,-2.0
noadapt,19,2,1,1000,10.0,4.63501366542563,6.046103404380088,0.0014272686913254396,0.3436023843657091,,-0.30965948667502197,-1.7561193920114921,-2.0
noadapt,19,3,1,1000,10.0,0.7491678984144805,2.1403057917828714,0.0008756737720680085,0.36410582487103327,,0.049429618661181354,-1.7561193920114921,-2.0
noadapt,19,4,1,1000,10.0,4.105540384944689,5.5143400073888875,0.017774593578736744,0.32954517598855787,,-0.30688019458037663,-1.7561193920114921,-2.0
noadapt,19,5,1,1000,10.0,0.8545379486505564,2.2488050774142656,0.016109031520318656,0.3457432317274644,,0.03848097875893153,-1.7561193920114921,-2.0
noadapt,19,6,0,1000,10.0,-1.1130171895989411,0.6120181791768999,0.0006996720133072854,0.030384351222343692,,0.2675231199989887,-1.7561193920114921,0.08174857604098335
noadapt,20,1,1,1000,10.0,3.081575723985979,4.487186811537047,0.013531126808593905,0.33697717765183005,,-0.21956161505609123,-1.7561193920114921,-2.0
noadapt,20,2,1,1000,10.0,3.692211920151131,5.111290616840858,0.011130076234203203,0.3259106190875619,,-0.23257183918388744,-1.7561193920114921,-2.0
noadapt,20,3,1,1000,10.0,4.103789077709402,5.52058138114493,0.007096663215012216,0.3322304253609518,,-0.3036172592586085,-1.7561193920114921,-2.0
noadapt,20,4,1,1000,10.0,0.8279332442308838,2.2518342125499577,0.004784022029017551,0.32743440166340054,,0.046107259505705635,-1.7561193920114921,-2.0
noadapt,20,5,1,1000,10.0,-0.4644220965008383,0.9356387450819429,0.017280800574870248,0.33877774985384057,,0.23968036830659206,-1.7561193920114921,-2.0
noadapt,21,1,1,163,1.6300000000000001,2.0747050459043384,2.0450072692228742,0.021406649219982164,1.7644105194729744,,0.1668504487865578,-1.7561193920114921,-2.0
noadapt,21,2,1,1000,10.0,3.9385173491772067,5.351693894884624,0.00495882249492339,0.33798402380915177,,-0.2931648100870774,-1.7561193920114921,-2.0
noadapt,21,3,1,1000,10.0,3.152389474411582,4.560305933901441,0.018804422912217456,0.32939850960941514,,-0.2251901331550239,-1.7561193920114921,-2.0
noadapt,21,4,1,1000,10.0,5.254338162840719,6.635176442281055,0.012005287651186913,0.36327582491997057,,-0.3685537746075413,-1.7561193920114921,-2.0
noadapt,21,5,0,1000,10.0,2.877640406870031,4.590749519604393,0.00148606784783766,0.041524211429292766,,-0.233737979023875,-1.7561193920114921,-0.5356771500828975
noadapt,22,1,1,1000,10.0,3.8141335395456157,5.189009455045069,0.02495795440296765,0.35628552210907105,,-0.28066617922127957,-1.7561193920114921,-2.0
noadapt,22,2,1,1000,10.0,4.912420812089254,6.299221004080528,0.011467254388855597,0.35785194563136236,,-0.3343147582151903,-1.7561193920114921,-2.0
noadapt,22,3,1,1000,10.0,0.05883823500862362,1.469232827529796,0.003677345186809842,0.34204745430351013,,0.19825956201027808,-1.7561193920114921,-2.0
noadapt,22,4,1,1000,10.0,1.3687476048115395,2.7745039168327894,0.001168455235015738,0.34919462475522633,,-0.03324654513803575,-1.7561193920114921,-2.0
noadapt,22,5,0,1000,10.0,-1.1006147648847522,0.6188685521651972,0.0006051610723445484,0.03603091388919819,,0.2704214235085385,-1.7561193920114921,0.05545902008088033
noadapt,23,1,1,1000,10.0,0.1312160881424167,1.540154458255561,0.008372928557694548,0.33880809334065326,,0.17566990995328882,-1.7561193920114921,-2.0
noadapt,23,2,1,1000,10.0,1.3282218056346422,2.735802360509381,0.002401002899084609,0.34613783423766903,,-0.040582447751923,-1.7561193920114921,-2.0
noadapt,23,3,1,1000,10.0,0.9021150077302611,2.3253937804465075,0.006805418609607147,0.32603520068563885,,0.029382216048555506,-1.7561193920114921,-2.0
noadapt,23,4,1,1000,10.0,1.6129397631327138,2.986451838816308,0.024249593867840567,0.3583577224600573,,-0.042743233238576414,-1.7561193920114921,-2.0
noadapt,23,5,1,1000,10.0,-0.7965332054409038,0.5767967233639554,0.03508698727227886,0.3477024759343541,,0.30502899935706235,-1.7561193920114921,-2.0
noadapt,23,6,1,1000,10.0,4.3656739130509035,5.780388725127467,0.004234712258344241,0.3371698676765851,,-0.28108105731727095,-1.7561193920114921,-2.0
noadapt,23,7,0,1000,10.0,3.060336560381281,4.778205010765868,0.0008022398332061188,0.03744870179369916,,-0.25050869885167515,-1.7561193920114921,-0.49744406962741766
noadapt,24,1,1,1000,10.0,5.545346730784832,6.953062513416194,0.011732536976726982,0.3366710724034034,,-0.39361745596243586,-1.7561193920114921,-2.0
noadapt,24,2,1,431,4.3100000000000005,0.3198415562109207,1.318267423138194,0.0035406753963605647,0.7541528496878585,,0.2701270593183443,-1.7561193920114921,-2.0
noadapt,24,3,1,1000,10.0,2.7470687513122294,4.148607061268172,0.002757307486737216,0.35182377456881236,,-0.1588236454240701,-1.7561193920114921,-2.0
noadapt,24,4,1,755,7.55,-0.14659403949680216,1.1404792945582396,0.006390726230784506,0.46265533172566575,,0.3296020976159572,-1.7561193920114921,-2.0
noadapt,24,5,1,1000,10.0,0.4167362604595146,1.8299709571929108,0.0017552929770855083,0.34112940230101063,,0.12140326637211339,-1.7561193920114921,-2.0
noadapt,25,1,1,1000,10.0,4.236190459706128,5.63880010467919,0.003912983990650516,0.3495967630477809,,-0.31422229141534247,-1.7561193920114921,-2.0
noadapt,25,2,1,1000,10.0,5.503512824486004,6.897554024200939,0.0014640686067201138,0.3606141236898358,,-0.3727646971527608,-1.7561193920114921,-2.0
noadapt,25,3,1,1000,10.0,0.3008804265040399,1.6997001094703144,0.004587508645957646,0.35271220039926,,0.15391995298506925,-1.7561193920114921,-2.0
noadapt,25,4,0,1000,10.0,5.560492222625383,7.281370639765114,0.0009251534034162083,0.03431582146834569,,-0.43546281419831095,-1.7561193920114921,-0.48291320463648935
noadapt,26,1,1,1000,10.0,0.0003618549404895699,1.3811227699597917,0.02228803544145406,0.353070441550736,,0.16297532846852106,-1.7561193920114921,-2.0
noadapt,26,2,1,204,2.04,1.4774103647455576,1.6758484261940239,0.08592418053049612,1.4717571500325297,,0.16468221036971492,-1.7561193920114921,-2.0
noadapt,26,3,1,1000,10.0,3.8389698164542616,5.216806853866547,0.012980026217452548,0.36530232838175336,,-0.2830686328496082,-1.7561193920114921,-2.0
noadapt,26,4,1,1000,10.0,3.2513094915819276,4.627234957533401,0.03399153757712791,0.34620238848289075,,-0.19001753123361698,-1.7561193920114921,-2.0
noadapt,26,5,0,1000,10.0,3.288889621169838,5.003955660198583,0.0008856314488250956,0.040167721533921695,,-0.2733305466482344,-1.7561193920114921,-0.5150443830251025
noadapt,27,1,1,1000,10.0,-0.7563639030619431,0.6209775060542472,0.018049159997723496,0.3607288228975784,,0.38792066240473433,-1.7561193920114921,-2.0
noadapt,27,2,1,382,3.8200000000000003,0.6802992350863857,1.5571471220509323,0.002801885179561454,0.876469619867384,,0.2686172412970902,-1.7561193920114921,-2.0
noadapt,27,3,1,996,9.96,-0.4656873485947639,0.9211199837470481,0.013889903144670169,0.35542215652500997,,0.35197182524915865,-1.7561193920114921,-2.0
noadapt,27,4,1,1000,10.0,-0.8370800783362223,0.5480957211436093,0.020423997675240356,0.35051959485642015,,0.34768757425303554,-1.7561193920114921,-2.0
noadapt,27,5,1,1000,10.0,2.0404305429890193,3.459936660524427,0.0013269335944368988,0.3352863408816474,,-0.12022151546343753,-1.7561193920114921,-2.0
noadapt,27,6,1,1000,10.0,-0.6550094474708739,0.7051153069806999,0.017386789608992526,0.3786078479509257,,0.33691165209744317,-1.7561193920114921,-2.0
noadapt,28,1,1,1000,10.0,3.796388323299889,5.203168657908683,0.0028726811409276846,0.3464663762617704,,-0.2767733208037584,-1.7561193920114921,-2.0
noadapt,28,2,1,1000,10.0,5.5146386307692445,6.915323276237728,0.018531573289427925,0.33690317325358166,,-0.39250437429210355,-1.7561193920114921,-2.0
noadapt,28,3,1,1000,10.0,2.5345046371257545,3.9175274381644707,0.033452228107394545,0.33964436286538124,,-0.12666576410742206,-1.7561193920114921,-2.0
noadapt,28,4,1,1000,10.0,4.7002567075029305,6.070652848470584,0.022307060318906877,0.3634161907249319,,-0.3339095713851118,-1.7561193920114921,-2.0
noadapt,28,5,0,1000,10.0,5.3060570568711825,7.006775819761718,0.0009228597005757917,0.05447776942038008,,-0.4152720374825826,-1.7561193920114921,-0.5733132664796354
